Date;Open;High;Low;Close;Adj Close;Volume
27/11/2019;39.459.999;39.759.998;39.070.000;39.410.000;39.410.000;33630100
29/11/2019;39.099.998;39.520.000;39.020.000;39.150.002;39.150.002;17609900
2/12/2019;39.320.000;39.410.000;38.439.999;38.730.000;38.730.000;35710200
3/12/2019;37.340.000;38.930.000;37.150.002;38.900.002;38.900.002;51556400
4/12/2019;39.380.001;39.820.000;39.130.001;39.689.999;39.689.999;44299400
5/12/2019;39.950.001;40.220.001;39.549.999;39.619.999;39.619.999;35574000
6/12/2019;40.099.998;40.189.999;39.560.001;39.630.001;39.630.001;31101400
9/12/2019;39.459.999;39.840.000;38.910.000;38.930.000;38.930.000;27928100
10/12/2019;39.200.001;39.730.000;38.820.000;39.439.999;39.439.999;33733600
11/12/2019;39.439.999;39.610.001;39.040.001;39.470.001;39.470.001;31698300
12/12/2019;39.400.002;42.619.999;39.250.000;42.590.000;42.590.000;86878000
13/12/2019;42.349.998;42.950.001;41.060.001;41.150.002;41.150.002;79927800
16/12/2019;41.730.000;42.980.000;41.730.000;42.349.998;42.349.998;58824900
17/12/2019;42.509.998;43.110.001;42.150.002;42.770.000;42.770.000;44852000
18/12/2019;42.790.001;43.060.001;42.240.002;42.299.999;42.299.999;39083300
19/12/2019;42.630.001;43.340.000;42.599.998;42.830.002;42.830.002;45883000
20/12/2019;43.439.999;44.259.998;43.259.998;44.150.002;44.150.002;68104700
23/12/2019;44.580.002;45.630.001;44.389.999;45.459.999;45.459.999;55886500
24/12/2019;46.099.998;46.610.001;45.770.000;46.540.001;46.540.001;44432200
26/12/2019;46.990.002;47.310.001;45.660.000;46.630.001;46.630.001;57562800
27/12/2019;46.849.998;46.880.001;45.980.000;46.180.000;46.180.000;36581300
30/12/2019;46.139.999;46.169.998;44.660.000;45.520.000;45.520.000;41149700
31/12/2019;45.070.000;46.090.000;44.919.998;45.860.001;45.860.001;31673200
2/1/2020;46.860.001;49.250.000;46.630.001;49.099.998;49.099.998;80331100
3/1/2020;48.029.999;49.389.999;47.540.001;48.599.998;48.599.998;73127400
6/1/2020;48.020.000;48.860.001;47.860.001;48.389.999;48.389.999;47934900
